Inhibition of N-terminal GST-tagged KDR after 4 hrs by luciferase-luciferin coupled chemiluminescence assay
CC1=CC=CC(=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=CC5=NC4=O,0.35
CC1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=CC5=NC4=O,0.36
C1=CC=C2C(=C1)NC(=C(C3=C(C=C(C=C3)Cl)Cl)C4=C5C=CC=CC5=NC4=O)N2,0.28
C1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=C(C5=NC4=O)Br,0.27
C1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=C(C5=NC4=O)C(=O)O,0.22
C1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=C(C=CC5=NC4=O)N,0.38
CC1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=C(C=CC5=NC4=O)C(=O)O,0.38
CN1CCN(CC1)S(=O)(=O)C2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC=CC=C6,0.22
C1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=C(C=CC5=NC4=O)Br,0.37
CCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC=CC=C6,0.32
CCN1CCC(CC1)NC2=CC3=C(C=C2)NC(=O)C3=C(C4=CC=CC=C4F)C5=NC=C(N5)C,0.35
C1=CC=C2C(=C1)NC(=C(C3=CC=C(C=C3)F)C4=C5C=CC=CC5=NC4=O)N2,0.31
CCOC1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=CC5=NC4=O,0.24
C1=CC=C(C=C1)C(=C2C3=C(C=C(C=C3)C(=O)O)NC2=O)C4=NC5=CC=CC=C5N4,0.31
COCCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC=CC=C6,0.3
CCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC=C(C=C6)C,0.31
CCN1CCC(CC1)NC2=CC3=C(C=C2)NC(=O)C3=C(C4=CC(=CC=C4)F)C5=NC=C(N5)C,0.35
C1=CC=C2C(=C1)NC(=C(C3=CC(=CC=C3)F)C4=C5C=CC=CC5=NC4=O)N2,0.35
C1=CC=C2C(=C1)NC(=C(C3=CC(=CC(=C3)F)F)C4=C5C=CC=CC5=NC4=O)N2,0.34
COC1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=CC=CC5=NC4=O,0.32
C1=CC=C2C(=C1)NC(=C(C3=CC=C(C=C3)N)C4=C5C=CC=CC5=NC4=O)N2,0.36
COC1=CC2=C(C=C1)NC(=C(C3=CC=CC=C3)C4=C5C=C(C=CC5=NC4=O)N)N2,0.34
COCCNS(=O)(=O)C1=CC2=C(C(=O)N=C2C=C1)C(=C3NC4=CC=CC=C4N3)C5=CC=CC=C5,0.25
CCN1CCCC(C1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=C(N4)C=C(C=C5)OC)C6=CC=CC=C6,0.24
CCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC=C(C=C6)OC,0.29
CCN1CCC(CC1)NC2=CC3=C(C(=O)N=C3C=C2)C(=C4NC5=CC=CC=C5N4)C6=CC(=CC=C6)F,0.32
CCN1CCC(CC1)NC2=CC3=C(C=C2)NC(=O)C3=C(C4=CC=C(C=C4)Cl)C5=NC=CN5,0.36
C1=CC=C(C=C1)C(=C2NC3=CC=CC=C3N2)C4=C5C=C(C=CC5=NC4=O)C(=O)O,0.4
CCN1CCC(CC1)NC2=CC3=C(C=C2)NC(=O)C3=C(C4=CC=CC=C4)C5=NC=CN5,0.34
